Year,Region,DMU,prod,CO2Emit,plltdH2O,capacity,employees,CKLratio,capCost_MW,laborCost,capCost,costAssetRatio,efficiency,slacksCO2,slacksH2O
2012,Cabinda,Central Termica Malongo     ,46,2.14,1207.01,40,15,2.73,0.53,0.99,0.77,3.79,0.388,0.59,0.61
2011,Namibe,Central Termica de Xitoto Novo   ,85,1.7,1064.5,70,45,3.13,0.34,0.34,0.7,5.24,0.306,0.04,0.19
2011,Namibe,Central Termica de ÿXitoto Antigoÿ   ,13,2.05,1075.2,8,40,2.57,2.97,0.4,0.7,5.23,0.063,0.88,0.88
2011,Namibe,Central Termica do Aeroporto    ,13,2.03,1096.92,8,23,4.49,2.66,0.64,0.61,2.07,0.089,0.88,0.88
2011,Lubango,Central Termica de Arimba    ,46,2.01,1086,35,15,2.81,0.61,0.98,0.74,3.8,0.396,0.56,0.57
2011,Lubango,Central Termica de Anexo SE   ,36,2.07,1083.62,20,30,1.28,1.13,0.52,0.73,5.59,0.173,0.67,0.66
2011,Benguela,Central Termica de Kileva    ,44,1.99,1080.12,30,69,0.62,0.76,0.23,0.75,6.46,0.105,0.58,0.59
2011,Benguela,Central Termical do Lobito    ,24,1.97,1061.09,5,31,8.05,4.17,0.49,0.51,-2.42,0.173,0.77,0.77
2011,Benguela,Central Termica de Biopio    ,100,1.95,1069.38,15,46,4.43,1.2,0.34,0.63,-2,0.495,0.02,0.05
2011,Cunene,Central Termica do Cunene    ,18,1.95,1065.81,5,20,1.22,4.43,0.75,0.78,5.87,0.162,0.82,0.83
2011,Cuando-Cubango,Central Termica Do Kuando Kubango   ,34,1.91,1096.92,10,16,1.1,1.88,0.95,0.72,2.54,0.31,0.66,0.68
2011,Huambo,Central Termica do Benfica    ,45,1.89,1107.94,35,34,-1.57,0.61,0.48,0.84,6.79,0.185,0.55,0.59
2011,Bie,Central Termica do Cuito    ,12,1.87,1095.75,7,42,0.97,2.65,0.37,0.76,2.25,0.06,0.88,0.89
2011,Moxico,Central termica do Moxico    ,45,1.86,1080.13,30,23,1.21,0.63,0.67,0.91,2.25,0.267,0.54,0.58
2011,Luanda,Central Termica de Cazenga    ,45,1.84,1076.39,30,50,0.46,0.83,0.32,0.77,8.38,0.139,0.53,0.57
2011,Luanda,Central Termica do Caminho de Ferro de Luanda,89,1.82,1063.33,50,65,1.13,0.5,0.25,0.72,7.28,0.244,0.06,0.15
2011,Luanda,Central Termica do Morro Bento   ,34,1.8,1064.15,15,32,2.43,1.84,0.49,0.64,9.47,0.167,0.64,0.67
2011,Luanda,Central Termica do Morro da Luz  ,35,1.78,1075.19,10,25,1.51,2.15,0.62,0.69,4.63,0.23,0.62,0.67
2011,Luanda,Central Termica KPM9     ,16,1.78,1076.39,10,35,4.39,2.15,0.43,0.6,1.94,0.078,0.83,0.85
2011,Luanda,Central Termica Benfica     ,23,0.97,1077.59,17,18,2.57,1.34,0.83,0.76,5.29,0.174,0.55,0.78
2011,Luanda,Central Termica Praia do Bispo   ,38,1.76,1078.79,20,15,1.94,1.16,0.96,0.81,6.89,0.337,0.59,0.64
2011,Luanda,Central Termica dos Quarteis    ,34,1.75,1076.52,30,37,-1.66,0.7,0.42,0.87,7.06,0.129,0.63,0.68
2011,Luanda,Central Termica Boavista I    ,35,1.92,1084.59,15,30,1.62,1.42,0.51,0.75,4.34,0.18,0.65,0.67
2011,Luanda,Central Termica Boavista II    ,23,1.86,1069.14,10,45,0.42,2.11,0.36,0.73,4.35,0.099,0.76,0.78
2011,Luanda,Central Termica Boavista III    ,24,1.82,1087.58,16,42,1.32,1.3,0.39,0.72,3.18,0.091,0.75,0.78
2011,Luanda,Central Termica Kassaki     ,12,1.8,1114.77,8,28,1.77,2.59,0.56,0.7,3.32,0.072,0.87,0.89
2011,Luanda,Central Termica CEEF     ,17,1.79,1206.39,10,20,5.02,2.05,0.73,0.63,0.93,0.123,0.82,0.86
2011,Bengo,Central Termica do Bengo    ,34,1.77,1271.35,18,25,0.98,1.15,0.61,0.76,4.37,0.193,0.63,0.73
2011,Uige,Central Termica do Uige    ,23,1.8,1211.06,15,20,1.93,1.42,0.75,0.69,4.4,0.156,0.76,0.81
2011,Zaire,Central Termica Banza Congo    ,24,1.77,1181.56,10,35,4,2.12,0.44,0.64,1.89,0.12,0.74,0.79
2011,Zaire,Central Termica Soyo     ,100,2.04,1639.3,70,15,5.09,0.29,0.98,0.59,0.68,0.95,0,0
2011,Cabinda,Central Termica Landana     ,34,2.04,1263.38,20,30,3.51,1.06,0.5,0.63,2.62,0.161,0.68,0.73
2011,Cabinda,Central Termica Malongo     ,85,1.61,1151.49,40,15,2.76,0.53,0.99,0.77,3.79,0.95,0,0
2010,Namibe,Central Termica de Xitoto Novo   ,13,1.64,1021.92,70,45,3.12,0.34,0.34,0.7,5.24,0.05,0.85,0.87
2010,Namibe,Central Termica de ÿXitoto Antigoÿ   ,13,1.99,1032.19,8,40,2.56,2.97,0.4,0.7,5.23,0.063,0.88,0.87
2010,Namibe,Central Termica do Aeroporto    ,46,1.97,1053.04,8,23,4.48,2.66,0.64,0.6,2.07,0.355,0.55,0.56
2010,Lubango,Central Termica de Arimba    ,36,1.95,1042.56,35,15,2.8,0.61,0.98,0.74,3.8,0.3,0.65,0.65
2010,Lubango,Central Termica de Anexo SE   ,39.6,2.01,1040.27,20,30,1.27,1.13,0.52,0.73,5.59,0.194,0.62,0.61
2010,Benguela,Central Termica de Kileva    ,24,1.93,1036.92,30,69,0.61,0.76,0.23,0.74,6.46,0.053,0.76,0.76
2010,Benguela,Central Termical do Lobito    ,100,1.91,1018.64,5,31,8.04,4.16,0.49,0.51,-2.42,0.95,0,0
2010,Benguela,Central Termica de Biopio    ,18,1.89,1026.61,15,46,4.42,1.2,0.34,0.63,-2,0.064,0.82,0.82
2010,Cunene,Central Termica do Cunene    ,34,1.89,1023.18,5,20,1.21,4.42,0.75,0.78,5.87,0.326,0.66,0.66
2010,Cuando-Cubango,Central Termica Do Kuando Kubango   ,45,1.85,1053.04,10,16,1.09,1.88,0.95,0.72,2.54,0.43,0.54,0.56
2010,Huambo,Central Termica do Benfica    ,12,1.84,1063.62,35,34,-1.58,0.61,0.47,0.84,6.79,0.05,0.88,0.89
2010,Bie,Central Termica do Cuito    ,45,1.82,1051.92,7,42,0.96,2.65,0.37,0.76,2.25,0.257,0.53,0.56
2010,Moxico,Central termica do Moxico    ,45,1.8,1036.93,30,23,1.2,0.63,0.67,0.91,2.25,0.268,0.52,0.56
2010,Luanda,Central Termica de Cazenga    ,89,1.78,1033.33,30,50,0.45,0.83,0.32,0.77,8.38,0.336,0.05,0.12
2010,Luanda,Central Termica do Caminho de Ferro de Luanda,34,1.76,1020.79,50,65,1.12,0.5,0.25,0.72,7.28,0.074,0.63,0.66
2010,Luanda,Central Termica do Morro Bento   ,35,1.75,1021.59,15,32,2.42,1.84,0.49,0.64,9.47,0.173,0.62,0.65
2010,Luanda,Central Termica do Morro da Luz  ,16,1.73,1032.19,10,25,1.5,2.15,0.61,0.69,4.63,0.098,0.82,0.84
2010,Luanda,Central Termica KPM9     ,23,1.73,1033.34,10,35,4.38,2.15,0.43,0.59,1.94,0.115,0.75,0.77
2010,Luanda,Central Termica Benfica     ,38,0.94,1034.48,17,18,2.56,1.34,0.83,0.76,5.29,0.316,0.23,0.63
2010,Luanda,Central Termica Praia do Bispo   ,34,1.71,1035.63,20,15,1.93,1.16,0.95,0.81,6.89,0.298,0.62,0.67
2010,Luanda,Central Termica dos Quarteis    ,35,1.69,1033.46,30,37,-1.67,0.7,0.42,0.87,7.06,0.134,0.61,0.66
2010,Luanda,Central Termica Boavista I    ,23,1.86,1041.21,15,30,1.61,1.42,0.51,0.75,4.34,0.114,0.76,0.78
2010,Luanda,Central Termica Boavista II    ,24,1.8,1026.37,10,45,0.41,2.11,0.36,0.73,4.35,0.104,0.75,0.76
2010,Luanda,Central Termica Boavista III    ,12,1.77,1044.07,16,42,1.31,1.29,0.39,0.72,3.18,0.05,0.87,0.88
2010,Luanda,Central Termica Kassaki     ,17,1.75,1070.18,8,28,1.76,2.59,0.56,0.7,3.32,0.104,0.81,0.84
2010,Luanda,Central Termica CEEF     ,34,1.73,1158.13,10,20,5.01,2.05,0.73,0.63,0.93,0.262,0.63,0.7
2010,Bengo,Central Termica do Bengo    ,23,1.71,1220.5,18,25,0.97,1.14,0.61,0.76,4.37,0.126,0.74,0.81
2010,Uige,Central Termica do Uige    ,24,1.75,1162.62,15,20,1.92,1.42,0.75,0.69,4.4,0.164,0.74,0.79
2010,Zaire,Central Termica Banza Congo    ,100,1.71,1134.3,10,35,3.99,2.12,0.44,0.63,1.89,0.95,0,0
2010,Zaire,Central Termica Soyo     ,34,1.98,1573.73,70,15,5.08,0.29,0.98,0.59,0.68,0.234,0.67,0.71
2010,Cabinda,Central Termica Landana     ,28,1.98,1212.84,20,30,3.5,1.06,0.5,0.63,2.62,0.131,0.73,0.76
2010,Cabinda,Central Termica Malongo     ,45,1.56,1105.43,40,15,2.75,0.53,0.99,0.77,3.79,0.392,0.45,0.59
